genome_id,genome_name,freq,Domain,Genome.Name...Sample.Name,Phylum,Class,Order,Family,Genus,Species,Strain,Genome.Size
637000304,Streptomyces avermitilis MA-4680,2,Bacteria,Streptomyces avermitilis MA-4680,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces avermitilis,MA-4680,9119895
637000305,Streptomyces coelicolor A3(2),2,Bacteria,Streptomyces coelicolor A3(2),Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces coelicolor,A3(2),9054847
638341107,Janibacter sp. HTCC2649,1,Bacteria,Janibacter sp. HTCC2649,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Janibacter,Janibacter sp. HTCC2649,HTCC2649,4228723
639279306,Corynebacterium glutamicum Kalinowski ATCC 13032,2,Bacteria,Corynebacterium glutamicum Kalinowski ATCC 13032,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium glutamicum,534,3282708
639279307,Corynebacterium glutamicum Nakagawa ATCC 13032,2,Bacteria,Corynebacterium glutamicum Nakagawa ATCC 13032,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium glutamicum,534,3309401
639633006,Arthrobacter sp. FB24,1,Bacteria,Arthrobacter sp. FB24,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,Arthrobacter sp. FB24,FB24,5070478
639633039,Mycobacterium avium 104,1,Bacteria,Mycobacterium avium 104,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium avium,104,5475491
639633040,Mycobacterium bovis BCG Pasteur 1173P2,2,Bacteria,Mycobacterium bovis BCG Pasteur 1173P2,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium bovis,Pasteur 1173P2,4374522
639633041,Mycobacterium smegmatis MC2 155,2,Bacteria,Mycobacterium smegmatis MC2 155,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium smegmatis,MC2 155,6988209
639633042,Mycobacterium sp. KMS,2,Bacteria,Mycobacterium sp. KMS,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium sp. KMS,KMS,6256079
639633044,Mycobacterium vanbaalenii PYR-1,2,Bacteria,Mycobacterium vanbaalenii PYR-1,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium vanbaalenii,PYR-1,6491865
639633046,Nocardioides sp. JS614,1,Bacteria,Nocardioides sp. JS614,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,Nocardioides sp. JS614,JS614,5293685
640069320,Mycobacterium sp. JLS,2,Bacteria,Mycobacterium sp. JLS,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium sp. JLS,JLS,6048425
640069329,Saccharopolyspora erythraea NRRL 2338,1,Bacteria,Saccharopolyspora erythraea NRRL 2338,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Saccharopolyspora,Saccharopolyspora erythraea,NRRL 2338,8212805
640427110,Corynebacterium glutamicum R,1,Bacteria,Corynebacterium glutamicum R,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium glutamicum,R,3363299
640427122,Mycobacterium gilvum PYR-GCK,1,Bacteria,Mycobacterium gilvum PYR-GCK,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium gilvum,PYR-GCK,5982829
640427123,Mycobacterium tuberculosis F11 (ExPEC),3,Bacteria,Mycobacterium tuberculosis F11 (ExPEC),Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,F11 (ExPEC),4424435
640427124,Mycobacterium tuberculosis H37Ra,4,Bacteria,Mycobacterium tuberculosis H37Ra,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,H37Ra,4419977
640963058,Actinomyces odontolyticus ATCC 17982,1,Bacteria,Actinomyces odontolyticus ATCC 17982,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces odontolyticus,ATCC 17982,2393758
641228502,Renibacterium salmoninarum ATCC 33209,1,Bacteria,Renibacterium salmoninarum ATCC 33209,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Renibacterium,Renibacterium salmoninarum,ATCC 33209,3155250
641522620,Corynebacterium urealyticum DSM 7109,3,Bacteria,Corynebacterium urealyticum DSM 7109,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium urealyticum,DSM 7109,2369219
641522641,Mycobacterium abscessus CIP 104536,1,Bacteria,Mycobacterium abscessus CIP 104536,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium abscessus,CIP 104536,5090491
641522642,"Mycobacterium marinum M, ATCC BAA-535",2,Bacteria,"Mycobacterium marinum M, ATCC BAA-535",Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium marinum,"M, ATCC BAA-535",6660144
641522653,Streptomyces griseus griseus NBRC 13350,1,Bacteria,Streptomyces griseus griseus NBRC 13350,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces griseus,NBRC 13350,8545929
641736194,Mycobacterium tuberculosis Haarlem,2,Bacteria,Mycobacterium tuberculosis Haarlem,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,Haarlem,4347292
642555140,Mycobacterium ulcerans Agy99,2,Bacteria,Mycobacterium ulcerans Agy99,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium ulcerans,Agy99,5805761
642791623,Streptomyces sp. Mg1,2,Bacteria,Streptomyces sp. Mg1,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. Mg1,Mg1,7105723
642979306,Corynebacterium amycolatum SK46,2,Bacteria,Corynebacterium amycolatum SK46,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium amycolatum,SK46,2513912
642979309,Mycobacterium tuberculosis 02_1987,1,Bacteria,Mycobacterium tuberculosis 02_1987,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,02_1987,4443138
642979310,Mycobacterium tuberculosis 94_M4241A,1,Bacteria,Mycobacterium tuberculosis 94_M4241A,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,94_M4241A,4410654
642979311,Mycobacterium tuberculosis T92,1,Bacteria,Mycobacterium tuberculosis T92,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,T92,4260358
642979349,Mycobacterium tuberculosis T17,1,Bacteria,Mycobacterium tuberculosis T17,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,T17,4277414
642979350,Mycobacterium tuberculosis GM 1503,1,Bacteria,Mycobacterium tuberculosis GM 1503,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,GM 1503,4261330
642979363,Mycobacterium tuberculosis EAS054,1,Bacteria,Mycobacterium tuberculosis EAS054,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,EAS054,4366920
643348566,Mycobacterium leprae Br4923,1,Bacteria,Mycobacterium leprae Br4923,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium leprae,Br4923,3268071
643692008,"Beutenbergia cavernae HKI 0122, DSM 12333",1,Bacteria,"Beutenbergia cavernae HKI 0122, DSM 12333",Actinobacteria,Actinobacteria,Actinomycetales,Beutenbergiaceae,Beutenbergia,Beutenbergia cavernae,"HKI 0122, DSM 12333",4669183
643692018,"Corynebacterium aurimucosum CN-1, ATCC 700975",2,Bacteria,"Corynebacterium aurimucosum CN-1, ATCC 700975",Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium aurimucosum,CN-1,2819226
643692019,Corynebacterium kroppenstedtii DSM 44385,2,Bacteria,Corynebacterium kroppenstedtii DSM 44385,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium kroppenstedtii,DSM 44385,2446804
643692028,Mycobacterium bovis BCG Tokyo 172,1,Bacteria,Mycobacterium bovis BCG Tokyo 172,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium bovis,Tokyo 172,4371711
643692033,Rhodococcus erythropolis PR4,5,Bacteria,Rhodococcus erythropolis PR4,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus,Rhodococcus erythropolis,PR4,6895538
643886002,Corynebacterium lipophiloflavum DSM 44291,2,Bacteria,Corynebacterium lipophiloflavum DSM 44291,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium lipophiloflavum,DSM 44291,2293743
643886015,Actinomyces urogenitalis DSM 15434,1,Bacteria,Actinomyces urogenitalis DSM 15434,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces urogenitalis,DSM 15434,2614023
643886017,Actinomyces coleocanis DSM 15436,1,Bacteria,Actinomyces coleocanis DSM 15436,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces coleocanis,DSM 15436,1719346
643886057,Corynebacterium striatum ATCC 6940,3,Bacteria,Corynebacterium striatum ATCC 6940,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium striatum,ATCC 6940,2724288
643886058,Corynebacterium accolens ATCC 49725,3,Bacteria,Corynebacterium accolens ATCC 49725,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium accolens,ATCC 49725,2413333
643886137,Corynebacterium glucuronolyticum ATCC 51866,2,Bacteria,Corynebacterium glucuronolyticum ATCC 51866,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium glucuronolyticum,ATCC 51866,2845674
643886147,Corynebacterium glucuronolyticum ATCC 51867,2,Bacteria,Corynebacterium glucuronolyticum ATCC 51867,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium glucuronolyticum,ATCC 51867,2784713
643886201,Rhodococcus erythropolis SK121,5,Bacteria,Rhodococcus erythropolis SK121,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus,Rhodococcus erythropolis,SK121,6785398
643886207,Corynebacterium matruchotii ATCC 33806,2,Bacteria,Corynebacterium matruchotii ATCC 33806,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium matruchotii,ATCC 33806,2967145
644736331,"Brachybacterium faecium 6-10, DSM 4810",2,Bacteria,"Brachybacterium faecium 6-10, DSM 4810",Actinobacteria,Actinobacteria,Actinomycetales,Dermabacteraceae,Brachybacterium,Brachybacterium faecium,"6-10, DSM 4810",3614992
644736345,"Corynebacterium efficiens YS-314, DSM 44549",2,Bacteria,"Corynebacterium efficiens YS-314, DSM 44549",Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium efficiens,YS-314T,3219505
644736391,Mycobacterium tuberculosis KZN 1435 (MDR),3,Bacteria,Mycobacterium tuberculosis KZN 1435 (MDR),Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,KZN 1435 (MDR),4398250
645058719,Corynebacterium tuberculostearicum SK141,3,Bacteria,Corynebacterium tuberculostearicum SK141,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium tuberculostearicum,SK141,2372261
645058721,Mycobacterium tuberculosis 98-R604 INH-RIF-EM,3,Bacteria,Mycobacterium tuberculosis 98-R604 INH-RIF-EM,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,98-R604 INH-RIF-EM,4286999
645058725,Mycobacterium avium avium ATCC 25291,1,Bacteria,Mycobacterium avium avium ATCC 25291,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium avium,ATCC 25291,4857995
645058728,Streptomyces griseoflavus Tu4000,2,Bacteria,Streptomyces griseoflavus Tu4000,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces griseoflavus,Tu4000,7364052
645058739,Mycobacterium intracellulare ATCC 13950,1,Bacteria,Mycobacterium intracellulare ATCC 13950,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium intracellulare,ATCC 13950,5328562
645058800,Rothia mucilaginosa ATCC 25296,1,Bacteria,Rothia mucilaginosa ATCC 25296,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia,Rothia mucilaginosa,ATCC 25296,2255158
645058823,Streptomyces albus J1074,1,Bacteria,Streptomyces albus J1074,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces albus,J1074,6619469
645058824,Streptomyces ghanaensis ATCC 14672,3,Bacteria,Streptomyces ghanaensis ATCC 14672,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces ghanaensis,ATCC 14672,8223278
645058853,Streptomyces sp. C,1,Bacteria,Streptomyces sp. C,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. C,C,7916041
645058855,Streptomyces viridochromogenes DSM 40736,2,Bacteria,Streptomyces viridochromogenes DSM 40736,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces viridochromogenes,DSM 40736,8548109
645058856,Streptomyces lividans TK24,1,Bacteria,Streptomyces lividans TK24,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces lividans,TK24,8190887
645058857,Streptomyces hygroscopicus ATCC 53653,2,Bacteria,Streptomyces hygroscopicus ATCC 53653,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces himastatinicus,ATCC 53653,10466286
645058861,Mycobacterium tuberculosis KZN 605 (XDR),1,Bacteria,Mycobacterium tuberculosis KZN 605 (XDR),Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,KZN 605 (XDR),4237019
645951800,Streptomyces sp. AA4,1,Bacteria,Streptomyces sp. AA4,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. AA4,AA4,9152172
645951826,Mycobacterium tuberculosis CPHL_A,3,Bacteria,Mycobacterium tuberculosis CPHL_A,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,CPHL_A,4376881
645951842,"Corynebacterium efficiens YS-314, DSM 44549",2,Bacteria,"Corynebacterium efficiens YS-314, DSM 44549",Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium efficiens,YS-314T,3113100
645951849,Streptomyces sp. SPB78,1,Bacteria,Streptomyces sp. SPB78,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. SPB78,SPB78,6897976
645951854,Mycobacterium tuberculosis K85,3,Bacteria,Mycobacterium tuberculosis K85,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,K85,4399672
645951864,Mycobacterium tuberculosis T46,1,Bacteria,Mycobacterium tuberculosis T46,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,T46,4347699
645951870,"Corynebacterium aurimucosum CN-1, ATCC 700975",2,Bacteria,"Corynebacterium aurimucosum CN-1, ATCC 700975",Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium aurimucosum,CN-1,2730325
646311932,"Gordonia bronchialis 3410, DSM 43247",2,Bacteria,"Gordonia bronchialis 3410, DSM 43247",Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Gordonia,Gordonia bronchialis,"3410, DSM 43247",5290012
646311938,"Kribbella flavida IFO 14399, DSM 17836",1,Bacteria,"Kribbella flavida IFO 14399, DSM 17836",Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Kribbella,Kribbella flavida,"IFO 14399, DSM 17836",7579488
646311951,Rothia mucilaginosa DY-18,1,Bacteria,Rothia mucilaginosa DY-18,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia,Rothia mucilaginosa,DY-18,2264603
646564564,Rhodococcus opacus B4,6,Bacteria,Rhodococcus opacus B4,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus,Rhodococcus opacus,B4,8834939
646564576,Streptomyces scabiei 87.22,3,Bacteria,Streptomyces scabiei 87.22,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces scabiei,87.22,10148695
646564587,"Tsukamurella paurometabola 33, DSM 20162",2,Bacteria,"Tsukamurella paurometabola 33, DSM 20162",Actinobacteria,Actinobacteria,Actinomycetales,Tsukamurellaceae,Tsukamurella,Tsukamurella paurometabola,"33, DSM 20162",4479724
646862346,Streptomyces bingchenggensis BCW-1,1,Bacteria,Streptomyces bingchenggensis BCW-1,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces bingchenggensis,BCW-1,11936683
647000206,Actinomyces odontolyticus F0309,1,Bacteria,Actinomyces odontolyticus F0309,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces odontolyticus,F0309,2422895
647000230,Corynebacterium ammoniagenes DSM 20306,2,Bacteria,Corynebacterium ammoniagenes DSM 20306,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium ammoniagenes,DSM 20306,2763612
647000231,Corynebacterium jeikeium ATCC 43734,3,Bacteria,Corynebacterium jeikeium ATCC 43734,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium jeikeium,ATCC 43734,2426461
647000278,Mycobacterium parascrofulaceum ATCC BAA-614,1,Bacteria,Mycobacterium parascrofulaceum ATCC BAA-614,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium parascrofulaceum,ATCC BAA-614,6295508
647000279,Mycobacterium tuberculosis 210,3,Bacteria,Mycobacterium tuberculosis 210,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,210,4395332
647000280,Mycobacterium tuberculosis KZN 4207,4,Bacteria,Mycobacterium tuberculosis KZN 4207,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,KZN 4207,4383975
647000281,Mycobacterium tuberculosis KZN V2475,3,Bacteria,Mycobacterium tuberculosis KZN V2475,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,KZN V2475,4356301
647000305,Rhodococcus equi ATCC 33707,7,Bacteria,Rhodococcus equi ATCC 33707,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Rhodococcus,Rhodococcus equi,ATCC 33707,5229298
647000328,Streptomyces griseus XyelbKG-1 1,1,Bacteria,Streptomyces griseus XyelbKG-1 1,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces griseus,XyelbKG-1 1,8566464
647533233,Streptomyces clavuligerus ATCC 27064,4,Bacteria,Streptomyces clavuligerus ATCC 27064,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces clavuligerus,ATCC 27064,8556892
647533235,Streptomyces sp. e14,2,Bacteria,Streptomyces sp. e14,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. e14,e14,7928946
648028006,Amycolatopsis mediterranei U32,1,Bacteria,Amycolatopsis mediterranei U32,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis mediterranei,U32,10236715
648028019,Corynebacterium pseudotuberculosis FRC41,2,Bacteria,Corynebacterium pseudotuberculosis FRC41,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,FRC41,2337913
648231702,Corynebacterium pseudotuberculosis sv. Ovis 1002,2,Bacteria,Corynebacterium pseudotuberculosis sv. Ovis 1002,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,1002,2335112
648231703,Corynebacterium pseudotuberculosis C231,2,Bacteria,Corynebacterium pseudotuberculosis C231,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,C231,2328208
648276632,Corynebacterium accolens ATCC 49726,3,Bacteria,Corynebacterium accolens ATCC 49726,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium accolens,ATCC 49726,2368466
648276633,Corynebacterium genitalium ATCC 33030,3,Bacteria,Corynebacterium genitalium ATCC 33030,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium genitalium,ATCC 33030,2349653
648276634,Corynebacterium matruchotii ATCC 14266,2,Bacteria,Corynebacterium matruchotii ATCC 14266,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,Corynebacterium matruchotii,ATCC 14266,2855988
648276692,Mycobacterium tuberculosis KZN R506,3,Bacteria,Mycobacterium tuberculosis KZN R506,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,KZN R506,4367618
648276693,Mycobacterium tuberculosis SUMu001,2,Bacteria,Mycobacterium tuberculosis SUMu001,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,SUMu001,4356118
648276694,Mycobacterium tuberculosis SUMu002,2,Bacteria,Mycobacterium tuberculosis SUMu002,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,SUMu002,4321025
648276695,Mycobacterium tuberculosis SUMu003,2,Bacteria,Mycobacterium tuberculosis SUMu003,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,SUMu003,4345124
648276696,Mycobacterium tuberculosis SUMu004,3,Bacteria,Mycobacterium tuberculosis SUMu004,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,SUMu004,4338184
648276697,Mycobacterium tuberculosis SUMu005,2,Bacteria,Mycobacterium tuberculosis SUMu005,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,SUMu005,4331659
648276698,Mycobacterium tuberculosis SUMu006,2,Bacteria,Mycobacterium tuberculosis SUMu006,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,SUMu006,4328768
648276699,Mycobacterium tuberculosis SUMu007,4,Bacteria,Mycobacterium tuberculosis SUMu007,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,SUMu007,4321517
648276700,Mycobacterium tuberculosis SUMu008,2,Bacteria,Mycobacterium tuberculosis SUMu008,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,SUMu008,4327514
648276701,Mycobacterium tuberculosis SUMu009,2,Bacteria,Mycobacterium tuberculosis SUMu009,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,SUMu009,4320544
648276702,Mycobacterium tuberculosis SUMu010,3,Bacteria,Mycobacterium tuberculosis SUMu010,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,SUMu010,4352987
648276703,Mycobacterium tuberculosis SUMu011,2,Bacteria,Mycobacterium tuberculosis SUMu011,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,SUMu011,4340737
648276704,Mycobacterium tuberculosis SUMu012,3,Bacteria,Mycobacterium tuberculosis SUMu012,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,SUMu012,4325814
