"taxon_oid"	"Domain"	"Status"	"Study.Name"	"Genome.Name...Sample.Name"	"Sequencing.Center"	"IMG.Genome.ID"	"Species"	"NCBI.Taxon.ID"	"NCBI.Project.ID"	"JGI.Project.ID...ITS.PID"	"Strain"	"Ecosystem"	"Ecosystem.Category"	"Ecotype"	"Genome.Size"	"Gene.Count"	"X"	"Phylum"	"Class"	"Order"	"Family"	"Genus"
637000304	"Bacteria"	"Finished"	"Streptomyces avermitilis MA-4680"	"Streptomyces avermitilis MA-4680"	"National Institute of Technology and Evaluation"	637000304	"Streptomyces avermitilis"	227882	189	0	"MA-4680"	"Environmental"	"Terrestrial"	NA	9119895	7792	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"
637000305	"Bacteria"	"Finished"	"Streptomyces coelicolor A3(2)"	"Streptomyces coelicolor A3(2)"	"Wellcome Trust Sanger Institute"	637000305	"Streptomyces coelicolor"	100226	242	0	"A3(2)"	"Engineered"	"Lab synthesis"	NA	9054847	8325	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"
638341107	"Bacteria"	"Permanent Draft"	"Janibacter sp. HTCC2649"	"Janibacter sp. HTCC2649"	"J. Craig Venter Institute (JCVI)"	638341107	"Janibacter sp. HTCC2649"	313589	13546	0	"HTCC2649"	"Environmental"	"Aquatic"	NA	4228723	4156	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Intrasporangiaceae"	"Janibacter"
639279306	"Bacteria"	"Finished"	"Corynebacterium glutamicum Kalinowski ATCC 13032"	"Corynebacterium glutamicum Kalinowski ATCC 13032"	"ANRT, Bielefeld University"	639279306	"Corynebacterium glutamicum"	196627	13760	0	"534"	"Engineered"	"Wastewater"	NA	3282708	3154	NA	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"
639279307	"Bacteria"	"Finished"	"Corynebacterium glutamicum Nakagawa ATCC 13032"	"Corynebacterium glutamicum Nakagawa ATCC 13032"	"ANRT, Kitasato University"	639279307	"Corynebacterium glutamicum"	196627	307	0	"534"	"Engineered"	"Wastewater"	NA	3309401	3032	NA	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"
639633006	"Bacteria"	"Finished"	"Arthrobacter sp. strain FB24 Sequencing"	"Arthrobacter sp. FB24"	"DOE Joint Genome Institute (JGI)"	639633006	"Arthrobacter sp. FB24"	290399	12640	16551	"FB24"	"Environmental"	"Terrestrial"	NA	5070478	4622	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Micrococcaceae"	"Arthrobacter"
639633039	"Bacteria"	"Finished"	"Mycobacterium avium 104"	"Mycobacterium avium 104"	"J. Craig Venter Institute (JCVI)"	639633039	"Mycobacterium avium"	243243	88	0	"104"	"Host-associated"	"Human"	NA	5475491	5305	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
639633040	"Bacteria"	"Finished"	"Mycobacterium bovis BCG Pasteur 1173P2"	"Mycobacterium bovis BCG Pasteur 1173P2"	"Animal Health and Veterinary Laboratories Agency (AHVLA), Institut Pasteur"	639633040	"Mycobacterium bovis"	410289	18059	0	"Pasteur 1173P2"	"Host-associated"	""	NA	4374522	4048	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
639633041	"Bacteria"	"Finished"	"Mycobacterium smegmatis MC2 155"	"Mycobacterium smegmatis MC2 155"	"J. Craig Venter Institute (JCVI)"	639633041	"Mycobacterium smegmatis"	246196	92	0	"MC2 155"	"Engineered"	"Lab synthesis"	NA	6988209	6941	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
639633042	"Bacteria"	"Finished"	"Mycobacteria, 5 strains"	"Mycobacterium sp. KMS"	"DOE Joint Genome Institute (JGI)"	639633042	"Mycobacterium sp. KMS"	189918	16081	16184	"KMS"	"Environmental"	"Terrestrial"	NA	6256079	6089	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
639633044	"Bacteria"	"Finished"	"Mycobacteria, 5 strains"	"Mycobacterium vanbaalenii PYR-1"	"DOE Joint Genome Institute (JGI)"	639633044	"Mycobacterium vanbaalenii"	350058	15761	16187	"PYR-1"	"Environmental"	"Terrestrial"	NA	6491865	6047	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
639633046	"Bacteria"	"Finished"	"Proteobacterium strain JS666 and Nocardioides strain JS614"	"Nocardioides sp. JS614"	"DOE Joint Genome Institute (JGI)"	639633046	"Nocardioides sp. JS614"	196162	12738	16222	"JS614"	"Environmental"	"Terrestrial"	NA	5293685	4975	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Nocardioidaceae"	"Nocardioides"
640069320	"Bacteria"	"Finished"	"Mycobacteria, 5 strains"	"Mycobacterium sp. JLS"	"DOE Joint Genome Institute (JGI)"	640069320	"Mycobacterium sp. JLS"	164757	16079	16183	"JLS"	"Environmental"	"Terrestrial"	NA	6048425	5855	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
640069329	"Bacteria"	"Finished"	"Saccharopolyspora erythraea NRRL 2338 white"	"Saccharopolyspora erythraea NRRL 2338"	"University of Cambridge"	640069329	"Saccharopolyspora erythraea"	405948	18489	0	"NRRL 2338"	"Environmental"	"Terrestrial"	NA	8212805	7290	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Pseudonocardiaceae"	"Saccharopolyspora"
640427110	"Bacteria"	"Finished"	"Corynebacterium glutamicum R"	"Corynebacterium glutamicum R"	"ANRT"	640427110	"Corynebacterium glutamicum"	340322	19193	0	"R"	"Environmental"	"Terrestrial"	NA	3363299	3174	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Corynebacteriaceae"	"Corynebacterium"
640427122	"Bacteria"	"Finished"	"Mycobacteria, 5 strains"	"Mycobacterium gilvum PYR-GCK"	"DOE Joint Genome Institute (JGI)"	640427122	"Mycobacterium gilvum"	350054	15760	16182	"PYR-GCK"	"Environmental"	"Aquatic"	NA	5982829	5683	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
640427123	"Bacteria"	"Finished"	"Mycobacterium tuberculosis sequencing- Broad Institute"	"Mycobacterium tuberculosis F11 (ExPEC)"	"Broad Institute"	640427123	"Mycobacterium tuberculosis"	336982	15642	0	"F11 (ExPEC)"	"Host-associated"	"Human"	NA	4424435	4019	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
640427124	"Bacteria"	"Finished"	"Mycobacterium tuberculosis H37Ra"	"Mycobacterium tuberculosis H37Ra"	"Fudan University, Johns Hopkins University, Chinese National Human Genome Center at Shanghai"	640427124	"Mycobacterium tuberculosis"	419947	18883	0	"H37Ra"	"Engineered"	"Lab synthesis"	NA	4419977	4099	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
640963058	"Bacteria"	"Permanent Draft"	"Human Microbiome Project (HMP) Reference Genomes"	"Actinomyces odontolyticus ATCC 17982"	"Washington University in St. Louis"	640963058	"Actinomyces odontolyticus"	411466	18171	0	"ATCC 17982"	"Host-associated"	"Human"	NA	2393758	2219	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"
641228502	"Bacteria"	"Finished"	"Renibacterium salmoninarum ATCC 33209"	"Renibacterium salmoninarum ATCC 33209"	"Integrated Genomics"	641228502	"Renibacterium salmoninarum"	288705	19227	0	"ATCC 33209"	"Host-associated"	"Fish"	NA	3155250	3558	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Micrococcaceae"	"Renibacterium"
641522620	"Bacteria"	"Finished"	"Corynebacterium urealyticum DSM 7109"	"Corynebacterium urealyticum DSM 7109"	"Bielefeld University"	641522620	"Corynebacterium urealyticum"	504474	29211	0	"DSM 7109"	"Host-associated"	"Animal"	NA	2369219	2084	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Corynebacteriaceae"	"Corynebacterium"
641522641	"Bacteria"	"Finished"	"Mycobacterium abscessus CIP 104536"	"Mycobacterium abscessus CIP 104536"	"CEA Genoscope"	641522641	"Mycobacterium abscessus"	36809	15691	0	"CIP 104536"	"Host-associated"	"Human"	NA	5090491	4991	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
641522642	"Bacteria"	"Finished"	"Mycobacterium marinum M, ATCC BAA-535"	"Mycobacterium marinum M, ATCC BAA-535"	"Institut Pasteur, Wellcome Trust Sanger Institute"	641522642	"Mycobacterium marinum"	216594	16725	0	"M, ATCC BAA-535"	"Host-associated"	"Human"	NA	6660144	5501	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
641522653	"Bacteria"	"Finished"	"Streptomyces griseus griseus NBRC 13350"	"Streptomyces griseus griseus NBRC 13350"	"University of Tokyo"	641522653	"Streptomyces griseus"	455632	20085	0	"NBRC 13350"	""	""	NA	8545929	7222	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"
641736194	"Bacteria"	"Finished"	"Mycobacterium tuberculosis sequencing- Broad Institute"	"Mycobacterium tuberculosis Haarlem"	"Broad Institute"	641736194	"Mycobacterium tuberculosis"	395095	17353	0	"Haarlem"	"Host-associated"	""	NA	4347292	4376	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
642555140	"Bacteria"	"Finished"	"Mycobacterium ulcerans Agy99"	"Mycobacterium ulcerans Agy99"	"Institut Pasteur"	642555140	"Mycobacterium ulcerans"	362242	16230	0	"Agy99"	"Host-associated"	"Human"	NA	5805761	4306	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
642791623	"Bacteria"	"Permanent Draft"	"Streptomyces sp. Mg1"	"Streptomyces sp. Mg1"	"Broad Institute"	642791623	"Streptomyces sp. Mg1"	465541	28547	0	"Mg1"	""	""	NA	7105723	6715	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"
642979306	"Bacteria"	"Permanent Draft"	"Human Microbiome Project (HMP) Reference Genomes"	"Corynebacterium amycolatum SK46"	"J. Craig Venter Institute (JCVI)"	642979306	"Corynebacterium amycolatum"	553204	31007	0	"SK46"	"Host-associated"	"Human"	NA	2513912	2154	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Corynebacteriaceae"	"Corynebacterium"
642979309	"Bacteria"	"Permanent Draft"	"Mycobacterium tuberculosis 02_1987"	"Mycobacterium tuberculosis 02_1987"	"Broad Institute"	642979309	"Mycobacterium tuberculosis"	515616	29167	0	"02_1987"	"Host-associated"	""	NA	4443138	4318	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
642979310	"Bacteria"	"Permanent Draft"	"Mycobacterium tuberculosis sequencing- Broad Institute"	"Mycobacterium tuberculosis 94_M4241A"	"Broad Institute"	642979310	"Mycobacterium tuberculosis"	515615	29165	0	"94_M4241A"	"Host-associated"	""	NA	4410654	4282	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
642979311	"Bacteria"	"Permanent Draft"	"Mycobacterium tuberculosis sequencing- Broad Institute"	"Mycobacterium tuberculosis T92"	"Broad Institute"	642979311	"Mycobacterium tuberculosis"	515617	29169	0	"T92"	"Host-associated"	"Unclassified"	NA	4260358	4300	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
642979349	"Bacteria"	"Permanent Draft"	"Mycobacterium tuberculosis sequencing- Broad Institute"	"Mycobacterium tuberculosis T17"	"Broad Institute"	642979349	"Mycobacterium tuberculosis"	537210	30017	0	"T17"	"Host-associated"	""	NA	4277414	4300	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
642979350	"Bacteria"	"Permanent Draft"	"Mycobacterium tuberculosis sequencing- Broad Institute"	"Mycobacterium tuberculosis GM 1503"	"Broad Institute"	642979350	"Mycobacterium tuberculosis"	537209	30015	0	"GM 1503"	"Host-associated"	""	NA	4261330	4163	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
642979363	"Bacteria"	"Permanent Draft"	"Mycobacterium tuberculosis sequencing- Broad Institute"	"Mycobacterium tuberculosis EAS054"	"Broad Institute"	642979363	"Mycobacterium tuberculosis"	520140	29329	0	"EAS054"	"Host-associated"	""	NA	4366920	4150	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
643348566	"Bacteria"	"Finished"	"Mycobacterium leprae Br4923"	"Mycobacterium leprae Br4923"	"Institut Pasteur"	643348566	"Mycobacterium leprae"	561304	31271	0	"Br4923"	"Host-associated"	"Human"	NA	3268071	1654	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
643692008	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Beutenbergia cavernae HKI 0122, DSM 12333"	"DOE Joint Genome Institute (JGI)"	643692008	"Beutenbergia cavernae"	471853	20827	98030	"HKI 0122, DSM 12333"	"Environmental"	"Terrestrial"	NA	4669183	4278	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Beutenbergiaceae"	"Beutenbergia"
643692018	"Bacteria"	"Finished"	"Corynebacterium aurimucosum CN-1, ATCC 700975"	"Corynebacterium aurimucosum CN-1, ATCC 700975"	"Bielefeld University"	643692018	"Corynebacterium aurimucosum"	548476	37279	0	"CN-1"	"Host-associated"	"Human"	NA	2819226	2617	NA	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"
643692019	"Bacteria"	"Finished"	"Corynebacterium kroppenstedtii DSM 44385"	"Corynebacterium kroppenstedtii DSM 44385"	"Bielefeld University"	643692019	"Corynebacterium kroppenstedtii"	645127	38011	0	"DSM 44385"	"Host-associated"	"Human"	NA	2446804	2073	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Corynebacteriaceae"	"Corynebacterium"
643692028	"Bacteria"	"Finished"	"Mycobacterium bovis BCG Tokyo 172"	"Mycobacterium bovis BCG Tokyo 172"	"Agencourt Bioscience"	643692028	"Mycobacterium bovis"	561275	31211	0	"Tokyo 172"	"Host-associated"	""	NA	4371711	3996	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
643692033	"Bacteria"	"Finished"	"Rhodococcus erythropolis PR4"	"Rhodococcus erythropolis PR4"	"National Institute of Technology and Evaluation"	643692033	"Rhodococcus erythropolis"	234621	20395	0	"PR4"	"Environmental"	"Aquatic"	NA	6895538	6505	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Nocardiaceae"	"Rhodococcus"
643886002	"Bacteria"	"Permanent Draft"	"Human Microbiome Project (HMP) Reference Genomes"	"Corynebacterium lipophiloflavum DSM 44291"	"Baylor College of Medicine"	643886002	"Corynebacterium lipophiloflavum"	525263	31447	0	"DSM 44291"	"Host-associated"	"Human"	NA	2293743	2427	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Corynebacteriaceae"	"Corynebacterium"
643886015	"Bacteria"	"Permanent Draft"	"Human Microbiome Project (HMP) Reference Genomes"	"Actinomyces urogenitalis DSM 15434"	"Baylor College of Medicine"	643886015	"Actinomyces urogenitalis"	525246	31429	0	"DSM 15434"	"Host-associated"	"Human"	NA	2614023	2453	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"
643886017	"Bacteria"	"Permanent Draft"	"Human Microbiome Project (HMP) Reference Genomes"	"Actinomyces coleocanis DSM 15436"	"Baylor College of Medicine"	643886017	"Actinomyces coleocanis"	525245	31427	0	"DSM 15436"	"Host-associated"	"Human"	NA	1719346	1598	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"
643886057	"Bacteria"	"Permanent Draft"	"Human Microbiome Project (HMP) Reference Genomes"	"Corynebacterium striatum ATCC 6940"	"Baylor College of Medicine"	643886057	"Corynebacterium striatum"	525268	31449	0	"ATCC 6940"	"Host-associated"	"Human"	NA	2724288	2727	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Corynebacteriaceae"	"Corynebacterium"
643886058	"Bacteria"	"Permanent Draft"	"Human Microbiome Project (HMP) Reference Genomes"	"Corynebacterium accolens ATCC 49725"	"Baylor College of Medicine"	643886058	"Corynebacterium accolens"	525260	31443	0	"ATCC 49725"	"Host-associated"	"Human"	NA	2413333	2387	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Corynebacteriaceae"	"Corynebacterium"
643886137	"Bacteria"	"Permanent Draft"	"Human Microbiome Project (HMP) Reference Genomes"	"Corynebacterium glucuronolyticum ATCC 51866"	"Baylor College of Medicine"	643886137	"Corynebacterium glucuronolyticum"	548478	31549	0	"ATCC 51866"	"Host-associated"	"Human"	NA	2845674	2787	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Corynebacteriaceae"	"Corynebacterium"
643886147	"Bacteria"	"Permanent Draft"	"Human Microbiome Project (HMP) Reference Genomes"	"Corynebacterium glucuronolyticum ATCC 51867"	"Baylor College of Medicine"	643886147	"Corynebacterium glucuronolyticum"	548477	30957	0	"ATCC 51867"	"Host-associated"	"Human"	NA	2784713	2701	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Corynebacteriaceae"	"Corynebacterium"
643886201	"Bacteria"	"Permanent Draft"	"Human Microbiome Project (HMP) Reference Genomes"	"Rhodococcus erythropolis SK121"	"J. Craig Venter Institute (JCVI)"	643886201	"Rhodococcus erythropolis"	596309	34067	0	"SK121"	"Host-associated"	"Unclassified"	NA	6785398	6767	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Nocardiaceae"	"Rhodococcus"
643886207	"Bacteria"	"Permanent Draft"	"Human Microbiome Project (HMP) Reference Genomes"	"Corynebacterium matruchotii ATCC 33806"	"Washington University in St. Louis"	643886207	"Corynebacterium matruchotii"	566549	30771	0	"ATCC 33806"	"Host-associated"	"Animal"	NA	2967145	3195	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Corynebacteriaceae"	"Corynebacterium"
644736331	"Bacteria"	"Finished"	"A Genomic Encyclopedia of Bacteria and Archaea (GEBA)"	"Brachybacterium faecium 6-10, DSM 4810"	"DOE Joint Genome Institute (JGI)"	644736331	"Brachybacterium faecium"	446465	17026	98669	"6-10, DSM 4810"	"Environmental"	"Terrestrial"	NA	3614992	3189	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Dermabacteraceae"	"Brachybacterium"
644736345	"Bacteria"	"Finished"	"Corynebacterium efficiens YS-314"	"Corynebacterium efficiens YS-314, DSM 44549"	"Ajinomoto Co., Inc, National Institute of Technology and Evaluation"	644736345	"Corynebacterium efficiens"	196164	305	0	"YS-314T"	"Environmental"	"Terrestrial"	NA	3219505	3064	NA	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"
644736391	"Bacteria"	"Finished"	"Mycobacterium tuberculosis sequencing- Broad Institute"	"Mycobacterium tuberculosis KZN 1435 (MDR)"	"Broad Institute"	644736391	"Mycobacterium tuberculosis"	478434	21055	0	"KZN 1435 (MDR)"	"Host-associated"	"Human"	NA	4398250	4107	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
645058719	"Bacteria"	"Permanent Draft"	"Human Microbiome Project (HMP) Reference Genomes"	"Corynebacterium tuberculostearicum SK141"	"J. Craig Venter Institute (JCVI)"	645058719	"Corynebacterium tuberculostearicum"	553206	31009	0	"SK141"	"Host-associated"	"Human"	NA	2372261	2265	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Corynebacteriaceae"	"Corynebacterium"
645058721	"Bacteria"	"Permanent Draft"	"Mycobacterium tuberculosis sequencing- Broad Institute"	"Mycobacterium tuberculosis 98-R604 INH-RIF-EM"	"Broad Institute"	645058721	"Mycobacterium tuberculosis"	555461	30979	0	"98-R604 INH-RIF-EM"	"Host-associated"	"Human"	NA	4286999	4159	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
645058725	"Bacteria"	"Permanent Draft"	"Mycobacterium avium avium ATCC 25291"	"Mycobacterium avium avium ATCC 25291"	"McGill University, University of Minnesota"	645058725	"Mycobacterium avium"	553481	30909	0	"ATCC 25291"	"Host-associated"	"Birds"	NA	4857995	4684	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
645058728	"Bacteria"	"Permanent Draft"	"Streptomyces griseoflavus Tu4000"	"Streptomyces griseoflavus Tu4000"	"Broad Institute"	645058728	"Streptomyces griseoflavus"	467200	33609	0	"Tu4000"	""	""	NA	7364052	7207	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"
645058739	"Bacteria"	"Permanent Draft"	"Mycobacterium intracellulare ATCC 13950"	"Mycobacterium intracellulare ATCC 13950"	"McGill University"	645058739	"Mycobacterium intracellulare"	487521	27955	0	"ATCC 13950"	"Host-associated"	"Human"	NA	5328562	5282	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
645058800	"Bacteria"	"Permanent Draft"	"Human Microbiome Project (HMP) Reference Genomes"	"Rothia mucilaginosa ATCC 25296"	"J. Craig Venter Institute (JCVI)"	645058800	"Rothia mucilaginosa"	553201	31405	0	"ATCC 25296"	"Host-associated"	"Human"	NA	2255158	1791	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Micrococcaceae"	"Rothia"
645058823	"Bacteria"	"Permanent Draft"	"Streptomyces albus J1074"	"Streptomyces albus J1074"	"Broad Institute"	645058823	"Streptomyces albus"	457425	32149	0	"J1074"	""	""	NA	6619469	6114	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"
645058824	"Bacteria"	"Permanent Draft"	"Streptomyces ghanaensis ATCC 14672"	"Streptomyces ghanaensis ATCC 14672"	"Broad Institute"	645058824	"Streptomyces ghanaensis"	566461	32145	0	"ATCC 14672"	"Environmental"	"Terrestrial"	NA	8223278	7840	NA	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Streptomycetaceae"	"Streptomyces"
